Agent Index,Group Index,Cities Visited,Chance meetings with group
1380,80,10,1
1381,81,13,3
1382,82,9,3
1383,83,10,1
1384,84,9,2
1385,85,8,2
1386,86,13,0
1387,87,15,2
1388,88,10,2
1389,89,10,0
1390,90,8,2
1391,91,11,4
1392,92,13,2
1393,93,12,3
1394,94,9,2
1395,95,11,0
1396,96,9,3
1397,97,11,3
1398,98,15,1
1399,99,11,0
1400,0,11,2
1401,1,13,3
1402,2,11,3
1403,3,10,0
1404,4,13,3
1405,5,9,3
1406,6,10,1
1407,7,13,1
1408,8,10,3
1409,9,10,2
1410,10,11,3
1411,11,12,2
1412,12,11,2
1413,13,12,3
1414,14,11,3
1415,15,10,3
1416,16,9,3
1417,17,13,3
1418,18,12,2
1419,19,12,6
1420,20,15,6
1421,21,9,2
1422,22,10,4
1423,23,11,2
1424,24,9,1
1425,25,9,3
1426,26,11,3
1427,27,9,0
1428,28,14,3
1429,29,12,1
1430,30,19,4
1431,31,8,0
1432,32,11,3
1433,33,10,3
1434,34,8,0
1435,35,13,1
1436,36,9,0
1437,37,11,3
1438,38,10,3
1439,39,9,1
1440,40,14,3
1441,41,10,2
1442,42,11,2
1443,43,11,0
1444,44,13,3
1445,45,12,1
1446,46,8,0
1447,47,10,0
1448,48,9,2
1449,49,9,2
1450,50,10,0
1451,51,10,0
1452,52,9,1
1453,53,9,4
1454,54,10,3
1455,55,8,1
1456,56,10,1
1457,57,11,3
1458,58,10,1
1459,59,10,0
1460,60,14,2
1461,61,10,2
1462,62,10,3
1463,63,9,1
1464,64,12,4
1465,65,12,1
1466,66,8,0
1467,67,11,2
1468,68,14,3
1469,69,11,4
1470,70,9,3
1471,71,11,2
1472,72,10,0
1473,73,10,1
1474,74,10,2
1475,75,10,0
1476,76,13,3
1477,77,8,0
1478,78,9,1
1479,79,11,0
1480,80,12,3
1481,81,12,1
1482,82,13,1
1483,83,9,0
1484,84,9,0
1485,85,9,2
1486,86,7,2
1487,87,13,3
1488,88,10,1
1489,89,12,1
1490,90,11,3
1491,91,10,0
1492,92,9,0
1493,93,11,2
1494,94,9,1
1495,95,11,5
1496,96,12,2
1497,97,11,1
1498,98,12,2
1499,99,10,0
1500,0,11,2
1501,1,7,2
1502,2,10,1
1503,3,11,0
1504,4,11,4
1505,5,9,1
1506,6,12,4
1507,7,11,1
1508,8,9,1
1509,9,9,1
1510,10,9,2
1511,11,13,3
1512,12,11,4
1513,13,9,4
1514,14,13,3
1515,15,14,6
1516,16,12,7
1517,17,10,3
1518,18,11,2
1519,19,9,6
1520,20,12,2
1521,21,11,1
1522,22,10,0
1523,23,10,0
1524,24,9,2
1525,25,9,2
1526,26,14,0
1527,27,13,2
1528,28,14,3
1529,29,9,1
1530,30,9,2
1531,31,9,3
1532,32,14,5
1533,33,11,2
1534,34,12,2
1535,35,9,2
1536,36,7,2
1537,37,13,3
1538,38,10,2
1539,39,13,3
1540,40,10,3
1541,41,11,3
1542,42,11,1
1543,43,9,1
1544,44,11,1
1545,45,11,3
1546,46,11,3
1547,47,11,0
1548,48,12,4
1549,49,13,2
1550,50,12,2
1551,51,10,0
1552,52,9,1
1553,53,12,2
1554,54,10,5
1555,55,11,2
1556,56,12,2
1557,57,11,0
1558,58,11,3
1559,59,12,2
1560,60,10,2
1561,61,11,7
1562,62,14,5
1563,63,9,3
1564,64,11,0
1565,65,9,2
1566,66,10,1
1567,67,10,1
1568,68,11,2
1569,69,11,3
1570,70,8,2
1571,71,9,2
1572,72,13,1
1573,73,8,1
1574,74,14,1
1575,75,12,1
1576,76,9,4
1577,77,9,2
1578,78,10,2
1579,79,12,0
1580,80,10,0
1581,81,7,1
1582,82,11,2
1583,83,11,1
1584,84,10,1
1585,85,9,1
1586,86,10,2
1587,87,11,1
1588,88,11,0
1589,89,12,1
1590,90,10,4
1591,91,12,3
1592,92,13,2
1593,93,11,5
1594,94,11,2
1595,95,10,1
1596,96,12,5
1597,97,12,2
1598,98,9,0
1599,99,12,1
1600,0,12,2
1601,1,9,1
1602,2,9,0
1603,3,10,5
1604,4,12,3
1605,5,11,0
1606,6,13,0
1607,7,11,0
1608,8,12,3
1609,9,10,2
1610,10,12,2
1611,11,9,1
1612,12,11,1
1613,13,11,2
1614,14,8,0
1615,15,10,1
1616,16,14,1
1617,17,10,1
1618,18,9,4
1619,19,11,0
1620,20,10,2
1621,21,12,1
1622,22,8,1
1623,23,8,3
1624,24,9,4
1625,25,10,0
1626,26,7,2
1627,27,13,5
1628,28,10,4
1629,29,11,3
1630,30,14,4
1631,31,14,2
1632,32,12,2
1633,33,11,0
1634,34,14,1
1635,35,10,0
1636,36,13,0
1637,37,11,2
1638,38,11,0
1639,39,8,1
1640,40,13,3
1641,41,9,1
1642,42,13,3
1643,43,12,4
1644,44,9,2
1645,45,8,3
1646,46,9,0
1647,47,12,3
